id,datetime,local_hour,county,scientific_name,hour_temperature,color,latitude.x,longitude.x,colorid,weeks,month,Season
100003508,2021-11-01 15:38:09 -0400,15,broward,Anolis carolinensis,27.3488639842598,green,26.0370221667,-80.1349861667,1,44,11,summer excluded
100030453,2021-11-01 15:35:47 -0400,15,fulton,Anolis carolinensis,17.793863919925585,brown,33.9397498688,-84.4076119736,0,44,11,summer excluded
100071863,2021-11-01 13:27:35 -0400,13,orange,Anolis carolinensis,28.715834535028158,green,28.597445,-81.199845,1,44,11,summer excluded
100071863,2021-11-01 13:27:35 -0400,13,orange,Anolis carolinensis,21.695000729452072,green,28.597445,-81.199845,1,44,11,summer excluded
100072502,2021-10-31 11:31:11 -0400,11,mecklenburg,Anolis carolinensis,12.905480768098124,brown,35.2728066796,-81.0090415741,0,44,10,summer excluded
100091997,2021-11-02 14:35:21 -0400,14,leon,Anolis carolinensis,22.058321079901358,brown,30.5306423997,-84.2782803342,0,44,11,summer excluded
100097672,2021-11-02 17:40:12 -0400,17,fulton,Anolis carolinensis,18.697083875902315,green,33.8102590775,-84.4669627145,1,44,11,summer excluded
100102306,2021-11-02 14:58:41 -0400,14,wake,Anolis carolinensis,20.88621205887545,green,35.7888133333,-78.6948033333,1,44,11,summer excluded
100171671,2021-11-03 15:03:55 -0400,15,alachua,Anolis carolinensis,27.55783433610506,brown,29.6686480144,-82.3983206688,0,44,11,summer excluded
100182932,2021-11-01 11:43:01 -0400,11,wake,Anolis carolinensis,18.361475080342867,brown,35.7177,-78.6862716667,0,44,11,summer excluded
10020464,2018-02-27 11:32:31 -0500,11,miamidade,Anolis carolinensis,27.405471827447315,green,25.7416292571,-80.336446509500007,1,9,2,summer excluded
100259365,2021-11-04 16:18:25 -0400,16,alachua,Anolis carolinensis,26.547282869208992,brown,29.6507564988,-82.3897017751,0,44,11,summer excluded
100330395,2021-11-05 12:28:18 -0400,12,wake,Anolis carolinensis,7.463947805758784,brown,35.723625,-78.7835533333,0,45,11,summer excluded
100330668,2021-11-05 12:08:00 -0400,12,miamidade,Anolis carolinensis,27.206928844197204,brown,25.6931191863,-80.3709053361,0,45,11,summer excluded
10044347,2018-03-01 09:50:31 -0500,9,miamidade,Anolis carolinensis,23.008262396940733,green,25.381725,-80.60942,1,9,3,summer excluded
10045022,2018-02-28 17:32:03 -0600,18,harris,Anolis carolinensis,22.436074205396782,brown,29.6992633333,-95.451645,0,9,2,summer excluded
100503096,2021-11-01 14:03:00 -0500,15,bexar,Anolis carolinensis,21.695000729452072,brown,29.4241219,-98.4936282,0,44,11,summer excluded
100503096,2021-11-01 14:03:00 -0500,15,bexar,Anolis carolinensis,28.715834535028158,brown,29.4241219,-98.4936282,0,44,11,summer excluded
100509728,2021-11-07 12:05:00 -0500,12,miamidade,Anolis carolinensis,22.421479273838475,brown,25.911204421,-80.3180441572,0,45,11,summer excluded
100556945,2021-10-28 15:05:00 -0500,16,bexar,Anolis carolinensis,27.53091303265677,brown,29.480985,-98.518079,0,43,10,summer excluded
10055757,2018-03-02 12:21:07 -0500,12,fulton,Anolis carolinensis,23.6876264689711,green,33.8759633333,-84.3938533333,1,9,3,summer excluded
100626392,2021-10-17 14:00:25 -0400,14,wake,Anolis carolinensis,29.26843396505513,brown,35.781,-78.3697,0,42,10,summer excluded
100626687,2021-10-23 14:30:47 -0400,14,wake,Anolis carolinensis,25.36655048890551,brown,35.781,-78.3697,0,43,10,summer excluded
100626687,2021-10-23 14:30:47 -0400,14,wake,Anolis carolinensis,26.219926925668695,brown,35.781,-78.3697,0,43,10,summer excluded
100628766,2021-11-08 12:17:41 -0600,13,harris,Anolis carolinensis,21.303608635945753,brown,29.8871979009,-95.7175267318,0,45,11,summer excluded
100681324,2021-11-04 16:18:25 -0400,16,alachua,Anolis carolinensis,26.547282869208992,brown,29.6405900814,-82.2678459688,0,44,11,summer excluded
100698265,2021-11-05 14:10:46 -0400,14,miamidade,Anolis carolinensis,27.811915126033426,green,25.6099616667,-80.39692,1,45,11,summer excluded
100716737,2021-11-09 15:04:43 -0600,16,dallas,Anolis carolinensis,22.256840536471337,green,32.913375,-96.8584,1,45,11,summer excluded
100730183,2021-10-21 11:49:00 -0500,12,dallas,Anolis carolinensis,26.459147903275422,brown,32.7037194444,-96.7049416667,0,42,10,summer excluded
100778803,2021-11-10 10:18:29 -0600,11,bexar,Anolis carolinensis,23.97181338237447,green,29.5729833333,-98.5414666667,1,45,11,summer excluded
10078837,2018-02-21 17:26:00 -0600,18,travis,Anolis carolinensis,16.628903899980354,brown,30.2411165146,-97.6978057021,0,8,2,summer excluded
100880641,2021-11-11 15:25:19 -0500,15,miamidade,Anolis carolinensis,27.162113169637472,brown,25.963295,-80.1394721667,0,45,11,summer excluded
100882550,2019-11-04 10:25:00 -0600,11,dallas,Anolis carolinensis,17.197221117815193,brown,32.9200094,-96.5938464,0,44,11,summer excluded
100933311,2021-11-12 10:52:43 -0500,10,horry,Anolis carolinensis,20.13241217378202,brown,34.0630645752,-78.8282394409,0,46,11,summer excluded
100974526,2021-11-11 11:47:40 -0500,11,wake,Anolis carolinensis,20.677625758596076,brown,35.883645,-78.2994383333,0,45,11,summer excluded
101023431,2021-11-12 14:59:12 -0500,14,alachua,Anolis carolinensis,26.962906098789226,green,29.6588852156,-82.3017727956,1,46,11,summer excluded
101063166,2021-11-01 13:19:57 -0400,13,wake,Anolis carolinensis,21.059822717929293,brown,35.8387866667,-78.8953783333,0,44,11,summer excluded
10107956,2018-03-04 12:58:00 -0600,13,orleans,Anolis carolinensis,22.162396609967022,brown,30.0573043354,-89.8834626883,0,9,3,summer excluded
101168378,2021-11-09 15:53:00 -0600,16,travis,Anolis carolinensis,21.816688001488004,brown,30.4117929368,-97.6487289,0,45,11,summer excluded
101168378,2021-11-09 15:53:00 -0600,16,travis,Anolis carolinensis,23.112173417860852,brown,30.4117929368,-97.6487289,0,45,11,summer excluded
101168379,2021-11-09 15:54:00 -0600,16,travis,Anolis carolinensis,23.112173417860852,green,30.4117281683,-97.6486967135,1,45,11,summer excluded
101168379,2021-11-09 15:54:00 -0600,16,travis,Anolis carolinensis,21.816688001488004,green,30.4117281683,-97.6486967135,1,45,11,summer excluded
101168380,2021-11-09 15:55:00 -0600,16,travis,Anolis carolinensis,23.112173417860852,brown,30.4117744315,-97.6487396288,0,45,11,summer excluded
101168380,2021-11-09 15:55:00 -0600,16,travis,Anolis carolinensis,21.816688001488004,brown,30.4117744315,-97.6487396288,0,45,11,summer excluded
101168382,2021-11-09 15:55:00 -0600,16,travis,Anolis carolinensis,23.112173417860852,brown,30.4117929368,-97.6487718153,0,45,11,summer excluded
