"","observed_on","year","prism_tmin","prism_tmax","Month","Day","yday","Latitude","id","local_hour","hour_temperature","color","colorid","season"
"1","2013-02-28",2013,4.77432245993742,19.6093107035131,2,28,59,30,214790,1,4.77432245993742,"brown",0,"Non-Breeding season"
"2","2013-03-29",2013,6.29129159121146,21.7363721448347,3,29,88,30,228603,16,20.6120099583637,"brown",0,"Non-Breeding season"
"3","2013-04-13",2013,10.693790120843,23.9949494456628,4,13,103,30,235637,14,23.9949494456628,"green",1,"Breeding season"
"4","2013-04-20",2013,10.693790120843,23.9949494456628,4,20,110,30,241483,2,10.693790120843,"green",1,"Breeding season"
"5","2013-04-28",2013,10.693790120843,23.9949494456628,4,28,118,30,253731,20,16.4320192280331,"brown",0,"Breeding season"
"6","2013-05-10",2013,16.0813518450724,28.5762968937977,5,10,130,30,261783,2,16.0813518450724,"brown",0,"Breeding season"
"7","2013-05-30",2013,16.0813518450724,28.5762968937977,5,30,150,30,282963,2,16.0813518450724,"brown",0,"Breeding season"
"8","2013-04-20",2013,10.693790120843,23.9949494456628,4,20,110,30,291078,15,23.7687471267262,"green",1,"Breeding season"
"9","2013-06-12",2013,21.4497001901365,34.482262215006,6,12,163,30,302365,2,21.4497001901365,"green",1,"Breeding season"
"10","2013-06-27",2013,21.4497001901365,34.482262215006,6,27,178,30,313667,13,34.2858149598483,"green",1,"Breeding season"
"11","2013-07-20",2013,21.8317524956508,34.509038224352,7,20,201,30,341003,22,25.2554728824976,"brown",0,"Breeding season"
"12","2007-05-01",2007,17.6425335125528,27.5496728320741,5,1,121,30,394717,2,17.6425335125528,"green",1,"Breeding season"
"13","2013-11-15",2013,6.15511551981178,17.8607604342443,11,15,319,30,459487,14,17.8607604342443,"brown",0,"Non-Breeding season"
"14","2013-12-21",2013,1.44110640755732,13.9101957714186,12,21,355,31,485276,10,9.29844052269178,"green",1,"Non-Breeding season"
"15","2014-02-14",2014,2.73169312040875,15.7623424538439,2,14,45,30,530632,15,15.4808788865612,"brown",0,"Non-Breeding season"
"16","2014-02-12",2014,2.73169312040875,15.7623424538439,2,12,43,30,530718,16,14.6406709467673,"brown",0,"Non-Breeding season"
"17","2014-03-01",2014,5.18522839466314,19.6636431389595,3,1,60,30,585310,15,19.3679839221698,"brown",0,"Non-Breeding season"
"18","2014-04-03",2014,12.0226728342898,25.3186452003313,4,3,93,30,641240,15,25.0788338411831,"green",1,"Breeding season"
"19","2014-04-28",2014,12.0226728342898,25.3186452003313,4,28,118,30,647409,2,12.0226728342898,"green",1,"Breeding season"
"20","2014-04-30",2014,12.0226728342898,25.3186452003313,4,30,120,30,650590,2,12.0226728342898,"green",1,"Breeding season"
"21","2014-04-30",2014,12.0226728342898,25.3186452003313,4,30,120,30,651114,2,12.0226728342898,"green",1,"Breeding season"
"22","2014-05-02",2014,15.6076869535698,28.3072827836473,5,2,122,30,667911,16,27.4819322856029,"green",1,"Breeding season"
"23","2014-07-09",2014,21.5939682691956,33.9499003187759,7,9,190,30,778483,15,33.761878308509,"brown",0,"Breeding season"
"24","2014-09-10",2014,19.829648146834,31.68159789299,9,10,253,30,869922,13,31.4683012825234,"brown",0,"Non-Breeding season"
"25","2014-09-21",2014,19.829648146834,31.68159789299,9,21,264,30,888354,15,31.4596371091406,"green",1,"Non-Breeding season"
"26","2014-10-23",2014,15.1910526201628,28.6260184905306,10,23,296,30,1037134,16,27.5034722732211,"brown",0,"Non-Breeding season"
"27","2014-11-02",2014,4.78441152262171,17.5861466899471,11,2,306,30,1054452,13,17.3059490004505,"green",1,"Non-Breeding season"
"28","2014-11-23",2014,4.78441152262171,17.5861466899471,11,23,327,30,1089926,1,4.78441152262171,"brown",0,"Non-Breeding season"
"29","2015-03-16",2015,7.71226542995368,18.8489797301744,3,16,75,30,1297756,17,16.9655079362739,"brown",0,"Non-Breeding season"
"30","2015-03-31",2015,7.71226542995368,18.8489797301744,3,31,90,30,1357675,18,15.7458800067908,"green",1,"Non-Breeding season"
"31","2015-04-01",2015,14.4983227565525,25.3249326736208,4,1,91,30,1364136,10,22.3187076959128,"green",1,"Breeding season"
"32","2015-03-14",2015,7.71226542995368,18.8489797301744,3,14,73,30,1371570,15,18.6325793807314,"brown",0,"Non-Breeding season"
"33","2015-04-07",2015,14.4983227565525,25.3249326736208,4,7,97,30,1385639,18,22.3799394400483,"green",1,"Breeding season"
"34","2015-04-23",2015,14.4983227565525,25.3249326736208,4,23,113,30,1418079,15,25.1425964031173,"green",1,"Breeding season"
"35","2015-04-24",2015,14.4983227565525,25.3249326736208,4,24,114,30,1420379,13,25.1431775105354,"green",1,"Breeding season"
"36","2015-04-16",2015,14.4983227565525,25.3249326736208,4,16,106,30,1454168,2,14.4983227565525,"green",1,"Breeding season"
"37","2015-05-06",2015,17.6979841328172,27.2943812588395,5,6,126,30,1460732,17,25.9256830574599,"green",1,"Breeding season"
"38","2015-05-07",2015,17.6979841328172,27.2943812588395,5,7,127,30,1466062,2,17.6979841328172,"green",1,"Breeding season"
"39","2015-05-15",2015,17.6979841328172,27.2943812588395,5,15,135,30,1492620,18,24.9602697143866,"green",1,"Breeding season"
"40","2015-06-08",2015,21.2053906481663,31.6421269781796,6,8,159,30,1606874,13,31.4838281727444,"green",1,"Breeding season"
"41","2015-06-22",2015,21.2053906481663,31.6421269781796,6,22,173,30,1669091,14,31.6421269781796,"green",1,"Breeding season"
"42","2015-07-08",2015,22.6772322237036,34.5951922431825,7,8,189,30,1737419,2,22.6772322237036,"green",1,"Breeding season"
"43","2015-08-13",2015,22.3457010629106,36.1346878498039,8,13,225,30,1860051,20,28.3280201477056,"green",1,"Breeding season"
"44","2015-06-22",2015,21.2053906481663,31.6421269781796,6,22,173,30,1939919,12,31.0181583343044,"green",1,"Breeding season"
"45","2015-04-03",2015,14.4983227565525,25.3249326736208,4,3,93,30,2088841,15,25.1296597016484,"brown",0,"Breeding season"
"46","2015-11-03",2015,9.39369665420036,20.1990922998499,11,3,307,30,2346670,14,20.1990922998499,"green",1,"Non-Breeding season"
"47","2016-02-26",2016,5.17842504835913,20.3847210389036,2,26,57,30,2720128,13,20.0706321680789,"green",1,"Non-Breeding season"
"48","2016-03-01",2016,9.41710317492273,22.8683759486374,3,2,61,30,2741743,14,22.8683759486374,"brown",0,"Non-Breeding season"
"49","2016-03-03",2016,9.41710317492273,22.8683759486374,3,4,63,30,2768563,17,20.4897244247154,"brown",0,"Non-Breeding season"
"50","2016-04-10",2016,12.864661661896,25.096169019292,4,11,101,30,2912354,15,24.8817263276627,"green",1,"Breeding season"
"51","2016-04-16",2016,12.864661661896,25.096169019292,4,17,107,30,2957997,13,24.8860767287181,"green",1,"Breeding season"
"52","2016-04-18",2016,12.864661661896,25.096169019292,4,19,109,30,2964863,10,21.8975008467468,"green",1,"Breeding season"
"53","2016-04-23",2016,12.864661661896,25.096169019292,4,24,114,30,3014620,14,25.096169019292,"brown",0,"Breeding season"
"54","2016-04-23",2016,12.864661661896,25.096169019292,4,24,114,30,3026414,2,12.864661661896,"green",1,"Breeding season"
"55","2016-04-06",2016,12.864661661896,25.096169019292,4,7,97,30,3034199,18,21.7690235250099,"green",1,"Breeding season"
"56","2016-04-28",2016,12.864661661896,25.096169019292,4,29,119,30,3074369,17,23.3164732758725,"green",1,"Breeding season"
